iter	Logloss
0	0.666493657
1	0.6416559021
2	0.6222570288
3	0.6038565922
4	0.5869478389
5	0.5710339712
6	0.5576370254
7	0.5462919975
8	0.5350617905
9	0.5252603815
10	0.5169171191
11	0.5097258915
12	0.5032268493
13	0.4961932867
14	0.4899653742
15	0.4856889874
16	0.4781741086
17	0.4729843162
18	0.4692529422
19	0.4636167215
20	0.4600291438
21	0.4568115236
22	0.4523201357
23	0.4493639805
24	0.4458105398
25	0.4427027085
26	0.439958411
27	0.4360380023
28	0.4330974922
29	0.4309070839
30	0.428526432
31	0.4264689336
32	0.4233705971
33	0.4212960062
34	0.4191688664
35	0.4178555875
36	0.4165515448
37	0.4138875357
38	0.4118124514
39	0.4106371829
40	0.4096497846
41	0.4085049157
42	0.4069669825
43	0.405212758
44	0.403908488
45	0.4024089982
46	0.4009530898
47	0.3994340555
48	0.3985374739
49	0.3976048644
50	0.3959170796
51	0.394566919
52	0.3936840274
53	0.3927179261
54	0.3919142246
55	0.3908163211
56	0.3900130023
57	0.3890489833
58	0.3876548488
59	0.3865846792
60	0.3858163904
61	0.3852551773
62	0.3842833499
63	0.3837670437
64	0.3828939189
65	0.3824519625
66	0.3814748395
67	0.3805934756
68	0.3805698487
69	0.3796830434
70	0.3792953692
71	0.3782360035
72	0.3772933537
73	0.3765516665
74	0.3758314374
75	0.3757090005
76	0.375298662
77	0.3752433535
78	0.3747713239
79	0.3740051255
80	0.3739057643
81	0.3733683499
82	0.3730758654
83	0.3725833375
84	0.3715558184
85	0.3710384965
86	0.3708859978
87	0.3706158612
88	0.3701712711
89	0.3692724484
90	0.368514956
91	0.3679974958
92	0.3675420999
93	0.3674311037
94	0.3669786136
95	0.3669320379
96	0.3666643749
97	0.3663887408
98	0.3661811995
99	0.3657498941
100	0.3652910103
101	0.3652872624
102	0.3647717097
103	0.3643392454
104	0.3640146506
105	0.3636628637
106	0.3634525277
107	0.3630569295
108	0.3630171959
109	0.362477261
110	0.3617052479
111	0.3612226735
112	0.360896989
113	0.360492146
114	0.360465683
115	0.3599396661
116	0.3598926061
117	0.359891387
118	0.3595924161
119	0.3591842723
120	0.3589019305
121	0.3585107955
122	0.3579986052
123	0.3572006472
124	0.3569611454
125	0.3565903066
126	0.3561332881
127	0.3556592613
128	0.3556520271
129	0.3553315701
130	0.3549598672
131	0.3549598668
132	0.3545382176
133	0.3543099102
134	0.3539787198
135	0.3535456987
136	0.3533898319
137	0.353156207
138	0.3527289839
139	0.3525217866
140	0.3520704469
141	0.3520522686
142	0.3513493291
143	0.3510542009
144	0.3507097314
145	0.3502668853
146	0.3501080319
147	0.349850175
148	0.3496267948
149	0.3491811364
150	0.348863482
151	0.3487639118
152	0.3482269004
153	0.3480968144
154	0.3475920546
155	0.3471395864
156	0.3467106905
157	0.3465974417
158	0.346595219
159	0.3459694334
160	0.3454316651
161	0.3450524137
162	0.3447978516
163	0.3446604892
164	0.3446593497
165	0.3443416968
166	0.3443062548
167	0.3439826312
168	0.3434728101
169	0.3429118056
170	0.3424266935
171	0.3420761765
172	0.3415650926
173	0.3412982219
174	0.3407181628
175	0.340421321
176	0.3400257475
177	0.3397400618
178	0.3392298944
179	0.3388924249
180	0.3385524347
181	0.3380264262
182	0.3375207697
183	0.337270512
184	0.3370946025
185	0.3367506253
186	0.3362242992
187	0.3359521575
188	0.3355983531
189	0.3352141324
190	0.3348695419
191	0.3344272643
192	0.3339874376
193	0.3334029847
194	0.3329293228
195	0.3328452346
196	0.3323661061
197	0.3318909209
198	0.3313581159
199	0.3310382873
200	0.3308285438
201	0.3304679277
202	0.3299996259
203	0.3292856397
204	0.3292856397
205	0.3292850252
206	0.3292812567
207	0.3291280062
208	0.3291061886
209	0.3285964817
210	0.3282141406
211	0.3279505191
212	0.3276290399
213	0.3274595108
214	0.3274584257
215	0.3268956776
216	0.3266638498
217	0.3259907736
218	0.325785621
219	0.3251923414
220	0.3249147599
221	0.324615569
222	0.3245934711
223	0.3245859938
224	0.324257993
225	0.3239868634
226	0.323901453
227	0.3234391158
228	0.3234057598
229	0.3229428552
230	0.3221815117
231	0.3218955338
232	0.3218755467
233	0.3218687342
234	0.321543857
235	0.3208377291
236	0.3205001728
237	0.3204487876
238	0.320047296
239	0.3200320581
240	0.3200263244
241	0.3196327049
242	0.3192480798
243	0.3189506171
244	0.3184553961
245	0.3181517734
246	0.3179452908
247	0.3179087738
248	0.317418776
249	0.3173852209
250	0.3173656003
251	0.3170749569
252	0.3165279539
253	0.3161074889
254	0.3159952057
255	0.3155777225
256	0.3148769835
257	0.3148636789
258	0.3146835668
259	0.3143263656
260	0.3143208247
261	0.3143120912
262	0.3143012411
263	0.3140050623
264	0.313687163
265	0.3132616465
266	0.3129271609
267	0.3125366925
268	0.3119735945
269	0.311944376
270	0.3117331947
271	0.3117215976
272	0.3111256719
273	0.3107648372
274	0.310424816
275	0.3104200435
276	0.310409266
277	0.3104006688
278	0.3101717478
279	0.3099803163
280	0.3097894954
281	0.3094358054
282	0.3091490098
283	0.3087464
284	0.3082698659
285	0.3080843847
286	0.3077160445
287	0.3075104752
288	0.3071713532
289	0.3067839313
290	0.3065572311
291	0.3063947643
292	0.3062359442
293	0.3057669723
294	0.3055456479
295	0.3051573387
296	0.3046567627
297	0.3044665929
298	0.3041202602
299	0.3038002928
300	0.3037880671
301	0.3032355893
302	0.3028929833
303	0.3024109208
304	0.3020916068
305	0.3017755627
306	0.3013166696
307	0.3009353282
308	0.3007824462
309	0.3007788069
310	0.3004047378
311	0.3001136259
312	0.2996915418
313	0.2995253131
314	0.2991973623
315	0.2988117312
316	0.2987396671
317	0.2986230472
318	0.2984716087
319	0.298465365
320	0.2983089232
321	0.2978929964
322	0.2976560673
323	0.2975704753
324	0.2972749533
325	0.296965294
326	0.2969619288
327	0.2966634373
328	0.2964054242
329	0.2962706985
330	0.2959551229
331	0.295718153
332	0.2953318677
333	0.2951228158
334	0.29507894
335	0.2948796098
336	0.2945147064
337	0.2941163311
338	0.2940976308
339	0.2939355416
340	0.2935780834
341	0.293322055
342	0.2930811602
343	0.2929074731
344	0.2926364
345	0.29236565
346	0.2922695809
347	0.2920819415
348	0.2917583063
349	0.29141971
350	0.2910381411
351	0.2908534274
352	0.2904628111
353	0.2902299796
354	0.2901562539
355	0.2897890959
356	0.289401961
357	0.2892226109
358	0.2889290162
359	0.288379972
360	0.2881264111
361	0.2878400994
362	0.2876922582
363	0.2874974814
364	0.287175904
365	0.2870324807
366	0.2866984773
367	0.28642186
368	0.2859708726
369	0.2858376386
370	0.2855089451
371	0.2851670769
372	0.2848963661
373	0.2847392957
374	0.2844964228
375	0.2843226779
376	0.2840478142
377	0.2837849954
378	0.2835661839
379	0.2834354719
380	0.2832692579
381	0.2830714099
382	0.2828655936
383	0.2828601465
384	0.2827063927
385	0.282464442
386	0.2824224715
387	0.2822694455
388	0.2821146216
389	0.2817998766
390	0.2817595254
391	0.2815162988
392	0.2812579554
393	0.2809375649
394	0.2806202993
395	0.2806123936
396	0.2804085697
397	0.2802412684
398	0.2799799533
399	0.2797868521
400	0.279356359
401	0.2790211966
402	0.2789855897
403	0.2789810045
404	0.2789746136
405	0.2788629804
406	0.2785694549
407	0.2783906437
408	0.2782533196
409	0.2780881371
410	0.2780245283
411	0.2778664138
412	0.2777007572
413	0.277422986
414	0.2771467807
415	0.2769361924
416	0.2765690533
417	0.2762261037
418	0.2759783814
419	0.2757944719
420	0.2755552404
421	0.2753791042
422	0.2753674315
423	0.2752159709
424	0.2752103164
425	0.2749881918
426	0.2746414662
427	0.2745276055
428	0.2742317119
429	0.2742216463
430	0.2740312425
431	0.2738240589
432	0.2735921247
433	0.2732462258
434	0.2731010713
435	0.2727817925
436	0.2726105697
437	0.2725269208
438	0.2722900477
439	0.2721973658
440	0.2720286546
441	0.2717199342
442	0.2715816857
443	0.2714100004
444	0.2712719106
445	0.2712386617
446	0.2710079709
447	0.270972917
448	0.2708350081
449	0.2705896526
450	0.2702188892
451	0.2700378702
452	0.2697566705
453	0.2694933777
454	0.269306408
455	0.2689792693
456	0.2688428593
457	0.2687065303
458	0.2684978437
459	0.2683063519
460	0.2682092216
461	0.2680171306
462	0.2678390123
463	0.2676234131
464	0.267527431
465	0.2675231458
466	0.2672902099
467	0.2671118414
468	0.266869783
469	0.2666471932
470	0.2663362485
471	0.2662350138
472	0.2660931817
473	0.26605509
474	0.2657867848
475	0.2657245292
476	0.2654349976
477	0.2651527995
478	0.2648235662
479	0.264786837
480	0.2646687106
481	0.2644364299
482	0.2642731863
483	0.2640273155
484	0.2636805145
485	0.2634876762
486	0.2633623694
487	0.2632223268
488	0.2630053465
489	0.2629464952
490	0.2628491322
491	0.2625741821
492	0.2622943216
493	0.2621565616
494	0.2618143008
495	0.2617956331
496	0.26163602
497	0.2614791277
498	0.2612989265
499	0.261172215
500	0.2609071005
501	0.2606024248
502	0.2603288685
503	0.2601831159
504	0.2599543557
505	0.2596327868
506	0.25947716
507	0.2592271955
508	0.2591849159
509	0.2590321894
510	0.2589452439
511	0.2587028459
512	0.2584889672
513	0.2582680567
514	0.2582144461
515	0.257973799
516	0.2578010038
517	0.2575949949
518	0.2573690568
519	0.257330997
520	0.2572207142
521	0.2569663653
522	0.2568757198
523	0.2568301754
524	0.2567587382
525	0.2563848328
526	0.256204593
527	0.2560509483
528	0.2557744137
529	0.2557258534
530	0.2552745122
531	0.2551217505
